Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
950;1491933452253;1491933452254
951;1491933452361;1491933452362
952;1491933452469;1491933452470
953;1491933452577;1491933452578
954;1491933452685;1491933452686
955;1491933452793;1491933452794
956;1491933452901;1491933452903
957;1491933453013;1491933453014
958;1491933453121;1491933453122
959;1491933453229;1491933453230
960;1491933453337;1491933453338
961;1491933453445;1491933453446
962;1491933453553;1491933453554
963;1491933453661;1491933453662
964;1491933453769;1491933453770
965;1491933453880;1491933453881
966;1491933453989;1491933453990
967;1491933454097;1491933454098
968;1491933454208;1491933454210
969;1491933454320;1491933454321
970;1491933454429;1491933454430
971;1491933454537;1491933454538
972;1491933454648;1491933454649
973;1491933454757;1491933454758
974;1491933454865;1491933454866
975;1491933454973;1491933454974
976;1491933455081;1491933455082
977;1491933455189;1491933455190
978;1491933455297;1491933455298
979;1491933455405;1491933455406
980;1491933455513;1491933455514
981;1491933455621;1491933455622
982;1491933455733;1491933455734
983;1491933455841;1491933455842
984;1491933455949;1491933455950
985;1491933456057;1491933456058
986;1491933456165;1491933456166
