Contador;Tempo;Tempo Milisegundos;;;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento;;;;;;
130;1935;1,49203E+12;22:00:29;00:28:45;6;600;446,9;4608;4608;480;240;0,74483335;0,7371679;0,4;0,8;;1492034412;1492034425;1492034421;1492034413;1492034425;1492034425
131;1950;1,49203E+12;22:00:43;00:28:59;6;600;447,49997;4608;4608;480;240;0,7458333;0,7415006;0,4;0,8;;1492034432;1492034439;1492034429;1492034435;1492034430;1492034433
132;1965;1,49203E+12;22:00:58;00:29:14;6;600;443,9;4608;4608;480;240;0,7398333;0,740667;0,4;0,8;;1492034451;1492034445;1492034448;1492034455;1492034449;1492034453
133;1980;1,49203E+12;22:01:13;00:29:29;6;600;457,9;4608;4608;480;240;0,76316667;0,7519168;0,4;0,8;;1492034466;1492034466;1492034469;1492034455;1492034464;1492034470
134;1995;1,49203E+12;22:01:29;00:29:45;6;600;461,4;4608;4608;480;240;0,769;0,7604584;0,4;0,8;;1492034475;1492034484;1492034482;1492034475;1492034473;1492034474
135;2010;1,49203E+12;22:01:44;00:30:00;6;600;446,9;4608;4608;480;240;0,74483335;0,75264585;0,4;0,8;;1492034496;1492034501;1492034488;1492034496;1492034494;1492034494
136;2025;1,49203E+12;22:02:00;00:30:16;6;600;446,99997;4608;4608;480;240;0,74499995;0,7488229;0,4;0,8;;1492034515;1492034503;1492034507;1492034517;1492034513;1492034515
137;2040;1,49203E+12;22:02:15;00:30:31;6;600;440,5;4608;4608;480;240;0,7341667;0,7414948;0,4;0,8;;1492034531;1492034524;1492034528;1492034517;1492034529;1492034531
138;2055;1,49203E+12;22:02:28;00:30:44;6;600;453,4;4608;4608;480;240;0,7556667;0,7485807;0,4;0,8;;1492034536;1492034541;1492034543;1492034537;1492034534;1492034535
139;2070;1,49203E+12;22:02:43;00:30:59;6;600;463,69998;4608;4608;480;240;0,7728333;0,760707;0,4;0,8;;1492034556;1492034551;1492034549;1492034559;1492034554;1492034558
140;2085;1,49203E+12;22:02:59;00:31:15;6;600;440,6;4608;4608;480;240;0,73433334;0,7475202;0,4;0,8;;1492034575;1492034571;1492034569;1492034575;1492034573;1492034574
141;2100;1,49203E+12;22:03:19;00:31:35;6;600;455,4;4608;4608;480;240;0,759;0,75326014;0,4;0,8;;1492034591;1492034592;1492034590;1492034579;1492034594;1492034595
142;2115;1,49203E+12;22:03:32;00:31:48;6;600;455,19998;4608;4608;480;240;0,75866663;0,7559634;0,4;0,8;;1492034595;1492034606;1492034603;1492034600;1492034608;1492034598
143;2130;1,49203E+12;22:03:44;00:32:00;6;600;470,4;4608;4608;480;240;0,784;0,7699817;0,4;0,8;;1492034620;1492034612;1492034613;1492034620;1492034618;1492034618
